Id,SalePrice
1461,121389.449442262
1462,164857.21295336116
1463,188821.22797706962
1464,201426.74969336917
1465,199194.11003754076
1466,172477.23456651508
1467,175916.18763979088
1468,159824.06951010932
1469,202677.67156639291
1470,119568.36981281165
1471,164435.22712676995
1472,96080.286069754249
1473,95000.326248774669
1474,145472.65983883984
1475,107855.1547597711
1476,362828.6408495903
1477,254996.48655387067
1478,314032.07604109793
1479,298698.44655931345
1480,501661.40718744259
1481,329965.20120002702
1482,207511.19288694335
1483,183559.46095917484
1484,159429.64325541595
1485,184953.65886048216
1486,188889.45198064612
1487,344568.02909107856
1488,213760.61644857124
1489,195301.13156655247
1490,249549.59890539615
1491,196670.55914546875
1492,97765.384309022396
1493,178703.20343964861
1494,300364.69953549514
1495,289644.43034249428
1496,231349.48668686493
1497,183970.87856479391
1498,190021.93283002707
1499,168704.09937237509
1500,159291.77756986461
1501,178492.50324432048
1502,138395.17920952113
1503,320941.12753373088
1504,238775.13497155774
1505,228886.82535712604
1506,192156.9448588154
1507,246456.72201910621
1508,200419.33470210258
1509,155419.50445283647
1510,145177.64912671945
1511,169103.66724034239
1512,171705.45498105517
1513,143034.87601614231
1514,158444.11824035624
1515,185869.24555552014
1516,153155.88171617407
1517,176414.56749979951
1518,130922.83279692443
1519,208748.28222058719
1520,125315.13215608717
1521,134203.07747840654
1522,175974.80441392917
1523,116849.86334884475
1524,128435.79175630906
1525,117703.15143900896
1526,111809.51787769128
1527,109077.12675530715
1528,133691.35307683502
1529,158802.3898338807
1530,193907.63309922011
1531,109075.40841088876
1532,91574.996535469807
1533,156094.47968956147
1534,126797.16795604868
1535,147669.99969434924
1536,104453.55408292465
1537,59718.179128855074
1538,150872.07236781699
1539,193435.30518734729
1540,83590.205295313324
1541,142210.55151259835
1542,158692.14614839095
1543,179756.1644272522
1544,83239.111643197568
1545,115904.97339751569
1546,135487.7173437078
1547,133626.55717757187
1548,141070.37769132465
1549,121023.36191286692
1550,135447.75723177829
1551,102789.01277428142
1552,139333.98997985342
1553,145497.25235521139
1554,114518.26322377028
1555,167065.78888451337
1556,81435.19158298496
1557,124529.28258455919
1558,105978.87009337338
1559,59578.359829374625
1560,127580.37803798847
1561,130527.11681186339
1562,131356.41610545892
1563,120652.36596896331
1564,160694.10123953887
1565,157678.53669351342
1566,239274.51167561251
1567,78814.465375512504
1568,238107.02531868528
1569,140775.02867616023
1570,129335.58776835859
1571,111475.03753350821
1572,143597.92609326786
1573,233332.41557921001
1574,119445.1990565672
1575,232515.55898487236
1576,228972.42205704702
1577,175392.49885993713
1578,148055.10495057449
1579,149875.86888912195
1580,194593.13908768931
1581,157665.49875772031
1582,125243.27270895336
1583,286891.2627624438
1584,214416.18547582236
1585,133493.54630843602
1586,78035.706677192808
1587,105732.61101540801
1588,145011.50930587004
1589,98686.008771299064
1590,126518.742803592
1591,93077.419286602541
1592,122340.16116713753
1593,128024.60016460894
1594,126501.2014315
1595,114333.65485216858
1596,218398.40970988059
1597,208123.53962599771
1598,230378.42012335901
1599,171124.70139674621
1600,160260.94381011496
1601,64513.825106459335
1602,119340.68740716366
1603,60566.999770691073
1604,262665.58436750801
1605,228464.14184717048
1606,163705.06321494046
1607,174374.55224739271
1608,217091.79362218932
1609,181971.84560839078
1610,152580.59799695891
1611,135844.94895512366
1612,174358.79089717867
1613,167027.79648598403
1614,125214.76823669909
1615,92289.445205380733
1616,79348.883114862503
1617,91823.718415385316
1618,138341.0105269092
1619,138290.80028116802
1620,152217.47606026952
1621,134879.94456249548
1622,146319.27913204927
1623,247284.2034165886
1624,202276.19984259523
1625,115447.88511835255
1626,168039.25919895194
1627,195962.5900330235
1628,274578.19511363725
1629,178205.24066382469
